precio,superficie,baños,habitaciones,precio/metro,Barrio
1590,135,2,4,12,La Vila de Gràcia 
850,80,1,3,11,La Vila de Gràcia 
875,60,1,3,15,El Coll 
960,42,1,1,23,La Vila de Gràcia 
875,70,2,3,13,El Camp d'en Grassot-Gràcia Nova 
1500,75,1,2,20,El Camp d'en Grassot-Gràcia Nova 
1760,48,1,2,37,La Vila de Gràcia 
850,40,1,1,21,La Vila de Gràcia 
985,77,1,4,13,La Vila de Gràcia 
1000,63,1,2,16,El Camp d'en Grassot-Gràcia Nova 
2500,142,2,5,18,El Camp d'en Grassot-Gràcia Nova 
750,59,1,2,13,Vallcarca-Els Penitents 
3768,117,2,3,32,La Vila de Gràcia 
820,75,1,3,11,La Salut 
800,63,1,2,13,El Camp d'en Grassot-Gràcia Nova 
700,48,1,1,15,La Salut 
1000,80,1,3,13,La Vila de Gràcia 
1150,85,1,2,14,El Camp d'en Grassot-Gràcia Nova 
800,70,1,3,11,El Camp d'en Grassot-Gràcia Nova 
950,58,1,2,16,La Vila de Gràcia 
1400,80,1,1,18,El Camp d'en Grassot-Gràcia Nova 
1090,93,2,2,12,La Vila de Gràcia 
2010,117,3,3,17,El Camp d'en Grassot-Gràcia Nova 
750,30,1,1,25,El Camp d'en Grassot-Gràcia Nova 
925,71,1,3,13,El Camp d'en Grassot-Gràcia Nova 
1300,93,1,3,14,La Vila de Gràcia 
1600,170,2,2,9,El Camp d'en Grassot-Gràcia Nova 
800,60,1,2,13,El Camp d'en Grassot-Gràcia Nova 
1250,101,2,4,12,La Vila de Gràcia 
4265,140,2,3,30,La Vila de Gràcia 
990,90,2,4,11,El Camp d'en Grassot-Gràcia Nova 
1590,150,2,3,11,La Vila de Gràcia 
1100,95,1,4,12,El Camp d'en Grassot-Gràcia Nova 
1100,60,1,2,18,La Vila de Gràcia 
750,44,1,3,17,El Camp d'en Grassot-Gràcia Nova 
900,75,1,3,12,La Vila de Gràcia 
820,55,1,1,15,La Vila de Gràcia 
900,34,1,1,26,La Vila de Gràcia 
